app_id,title,date_release,win,mac,linux,rating,positive_ratio,user_reviews,price_final,price_original,discount,steam_deck,helpful,funny,date,is_recommended,hours,user_id,review_id,release_date,required_age,categories,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,Free to Play,Action,Utilities,Animation & Modeling,Photo Editing,Education,Sports,Audio Production,Casual,Web Publishing,Accounting,Documentary,Sexual Content,Adventure,Video Production,Design & Illustration,Racing,Gore,Tutorial,RPG,Indie,Software Training,Simulation,Game Development,Massively Multiplayer,Early Access,Nudity,Strategy,Violent
371970,Barony,2015-06-23,1,1,1,7,92,3713,20.0,0.0,0.0,1,0,2,2021-10-20,1,65.1,11022841,534054,2015-06-23,0,Single-player;Multi-player;Co-op;Online Co-op;Local Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Includes level editor,141,1244,151,286,513,2,11.39,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
371970,Barony,2015-06-23,1,1,1,7,92,3713,20.0,0.0,0.0,1,0,0,2021-09-30,1,25.7,3950825,612238,2015-06-23,0,Single-player;Multi-player;Co-op;Online Co-op;Local Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Includes level editor,141,1244,151,286,513,2,11.39,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
371970,Barony,2015-06-23,1,1,1,7,92,3713,20.0,0.0,0.0,1,0,0,2021-06-26,1,45.5,309447,657402,2015-06-23,0,Single-player;Multi-player;Co-op;Online Co-op;Local Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Includes level editor,141,1244,151,286,513,2,11.39,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
371970,Barony,2015-06-23,1,1,1,7,92,3713,20.0,0.0,0.0,1,0,0,2022-08-13,1,37.5,9782426,660649,2015-06-23,0,Single-player;Multi-player;Co-op;Online Co-op;Local Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Includes level editor,141,1244,151,286,513,2,11.39,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
371970,Barony,2015-06-23,1,1,1,7,92,3713,20.0,0.0,0.0,1,0,0,2022-06-25,1,13.1,12246265,727819,2015-06-23,0,Single-player;Multi-player;Co-op;Online Co-op;Local Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Includes level editor,141,1244,151,286,513,2,11.39,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
371970,Barony,2015-06-23,1,1,1,7,92,3713,20.0,0.0,0.0,1,0,0,2021-10-01,1,85.4,6900406,736951,2015-06-23,0,Single-player;Multi-player;Co-op;Online Co-op;Local Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Includes level editor,141,1244,151,286,513,2,11.39,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
371970,Barony,2015-06-23,1,1,1,7,92,3713,20.0,0.0,0.0,1,0,0,2022-09-03,1,13.5,4165002,785417,2015-06-23,0,Single-player;Multi-player;Co-op;Online Co-op;Local Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Includes level editor,141,1244,151,286,513,2,11.39,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
371970,Barony,2015-06-23,1,1,1,7,92,3713,20.0,0.0,0.0,1,0,0,2021-11-26,1,36.5,13195421,824019,2015-06-23,0,Single-player;Multi-player;Co-op;Online Co-op;Local Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Includes level editor,141,1244,151,286,513,2,11.39,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
371970,Barony,2015-06-23,1,1,1,7,92,3713,20.0,0.0,0.0,1,13,11,2022-04-07,1,46.4,6807286,874368,2015-06-23,0,Single-player;Multi-player;Co-op;Online Co-op;Local Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Includes level editor,141,1244,151,286,513,2,11.39,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
371970,Barony,2015-06-23,1,1,1,7,92,3713,20.0,0.0,0.0,1,4,0,2020-09-20,1,82.1,7260478,903613,2015-06-23,0,Single-player;Multi-player;Co-op;Online Co-op;Local Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Includes level editor,141,1244,151,286,513,2,11.39,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
